,NomDesClubs,lienClubDetails,logoLinks
2233,1. FFC 08 Niederkirchen,https://fbref.com/fr/equipes/d60ee088/historique/Stats-et-historique-de-1-FFC-08-Niederkirchen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d60ee088.png"""
2234,1. FFC Frankfurt,https://fbref.com/fr/equipes/77d2e598/historique/Stats-et-historique-de-FFC-Frankfurt,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/77d2e598.png"""
2235,1. FFC Turbine Potsdam,https://fbref.com/fr/equipes/de550500/historique/Stats-et-historique-de-Turbine-Potsdam,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/de550500.png"""
2236,1. FFV Erfurt,https://fbref.com/fr/equipes/66060a29/historique/Stats-et-historique-de-1-FFV-Erfurt,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/66060a29.png"""
2237,1. FSV Mainz 05,https://fbref.com/fr/equipes/a224b06a/historique/Stats-et-historique-de-Mainz-05,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/a224b06a.png"""
2238,1. FSV Mainz 05 II,https://fbref.com/fr/equipes/fd7718b7/historique/Stats-et-historique-de-Mainz-05-II,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/fd7718b7.png"""
2239,1. FSV Mainz 05 U17,https://fbref.com/fr/equipes/35596f77/historique/Stats-et-historique-de-1-FSV-Mainz-05-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/35596f77.png"""
2240,1. FSV Mainz 05 U19,https://fbref.com/fr/equipes/ce4c058d/historique/Stats-et-historique-de-1-FSV-Mainz-05-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ce4c058d.png"""
2241,1.FC Mönchengladbach,https://fbref.com/fr/equipes/5fa36836/historique/Stats-et-historique-de-1FC-Monchengladbach,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/5fa36836.png"""
2242,1.FC Mönchengladbach U17,https://fbref.com/fr/equipes/89b05c5a/historique/Stats-et-historique-de-1FC-Monchengladbach-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/89b05c5a.png"""
2243,1.FC Mönchengladbach U19,https://fbref.com/fr/equipes/d127e5eb/historique/Stats-et-historique-de-1FC-Monchengladbach-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d127e5eb.png"""
2244,Alemannia Aachen,https://fbref.com/fr/equipes/3659060d/historique/Stats-et-historique-de-Alemannia-Aachen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/3659060d.png"""
2245,Alemannia Aachen U17,https://fbref.com/fr/equipes/fc4124c9/historique/Stats-et-historique-de-Alemannia-Aachen-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/fc4124c9.png"""
2246,Alemannia Aachen U19,https://fbref.com/fr/equipes/0a2bc34c/historique/Stats-et-historique-de-Alemannia-Aachen-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/0a2bc34c.png"""
2247,Arminia Bielefeld,https://fbref.com/fr/equipes/247c4b67/historique/Stats-et-historique-de-Arminia,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/247c4b67.png"""
2248,ATS Buntentor,https://fbref.com/fr/equipes/93ea79dc/historique/Stats-et-historique-de-ATS-Buntentor,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/93ea79dc.png"""
2249,Bahlinger SC,https://fbref.com/fr/equipes/a4134f68/historique/Stats-et-historique-de-Bahlinger-SC,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/a4134f68.png"""
2250,Bayer 04 Leverkusen,https://fbref.com/fr/equipes/c6d4860a/historique/Stats-et-historique-de-Leverkusen-Women,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/c6d4860a.png"""
2251,Bayer 04 Leverkusen,https://fbref.com/fr/equipes/c7a9f859/historique/Stats-et-historique-de-Leverkusen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/c7a9f859.png"""
2252,Bayer 04 Leverkusen U17,https://fbref.com/fr/equipes/45a67fe8/historique/Stats-et-historique-de-Leverkusen-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/45a67fe8.png"""
2253,Bayer 04 Leverkusen U19,https://fbref.com/fr/equipes/ecf53eea/historique/Stats-et-historique-de-Leverkusen-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ecf53eea.png"""
2254,Berliner FC Dynamo,https://fbref.com/fr/equipes/1bfc385f/historique/Stats-et-historique-de-Berliner-FC-Dynamo,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/1bfc385f.png"""
2255,BFC Preussen,https://fbref.com/fr/equipes/f6b80d0f/historique/Stats-et-historique-de-BFC-Preussen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/f6b80d0f.png"""
2256,Bonner SC,https://fbref.com/fr/equipes/d6d0a4e1/historique/Stats-et-historique-de-Bonner-SC,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d6d0a4e1.png"""
2257,Borussia Dortmund,https://fbref.com/fr/equipes/add600ae/historique/Stats-et-historique-de-Dortmund,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/add600ae.png"""
2258,Borussia Dortmund II,https://fbref.com/fr/equipes/40347053/historique/Stats-et-historique-de-Dortmund-II,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/40347053.png"""
2259,Borussia Mönchengladbach,https://fbref.com/fr/equipes/32f3ee20/historique/Stats-et-historique-de-Monchengladbach,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/32f3ee20.png"""
2260,Borussia Mönchengladbach,https://fbref.com/fr/equipes/cbefe26c/historique/Stats-et-historique-de-Borussia-Monchengladbach,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/cbefe26c.png"""
2261,Borussia Mönchengladbach U17,https://fbref.com/fr/equipes/50eaaf29/historique/Stats-et-historique-de-Borussia-Monchengladbach-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/50eaaf29.png"""
2262,Borussia Mönchengladbach U19,https://fbref.com/fr/equipes/df6f068b/historique/Stats-et-historique-de-Borussia-Monchengladbach-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/df6f068b.png"""
2263,Bremer SV,https://fbref.com/fr/equipes/d2727b1d/historique/Stats-et-historique-de-Bremer-SV,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d2727b1d.png"""
2264,BSC Hastedt,https://fbref.com/fr/equipes/eb36bfaf/historique/Stats-et-historique-de-BSC-Hastedt,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/eb36bfaf.png"""
2265,BSG Chemie Leipzig,https://fbref.com/fr/equipes/ab817d18/historique/Stats-et-historique-de-BSG-Chemie-Leipzig,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ab817d18.png"""
2266,BSV Grün-Weiss Neukölln,https://fbref.com/fr/equipes/446a1132/historique/Stats-et-historique-de-Grun-Weiss-Neukolln,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/446a1132.png"""
2267,BSV Schwarz-Weiß Rehden,https://fbref.com/fr/equipes/b6502c90/historique/Stats-et-historique-de-BSV-Schwarz-Weiss-Rehden,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/b6502c90.png"""
2268,BV Borussia 09 Dortmund U17,https://fbref.com/fr/equipes/6c254a38/historique/Stats-et-historique-de-BV-Borussia-09-Dortmund-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/6c254a38.png"""
2269,BV Borussia 09 Dortmund U19,https://fbref.com/fr/equipes/d943111d/historique/Stats-et-historique-de-BV-Borussia-09-Dortmund-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d943111d.png"""
2270,BV Borussia Bocholt,https://fbref.com/fr/equipes/7ee8b384/historique/Stats-et-historique-de-BV-Borussia-Bocholt,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/7ee8b384.png"""
2271,BV Cloppenburg,https://fbref.com/fr/equipes/a770626b/historique/Stats-et-historique-de-BV-Cloppenburg,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/a770626b.png"""
2272,Chemnitzer FC,https://fbref.com/fr/equipes/707b3614/historique/Stats-et-historique-de-Chemnitzer-FC,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/707b3614.png"""
2273,Chemnitzer FC U17,https://fbref.com/fr/equipes/e76a63dd/historique/Stats-et-historique-de-Chemnitzer-FC-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/e76a63dd.png"""
2274,Chemnitzer FC U19,https://fbref.com/fr/equipes/fc4bf6b5/historique/Stats-et-historique-de-Chemnitzer-FC-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/fc4bf6b5.png"""
2275,DJK Arminia Klosterhardt U19,https://fbref.com/fr/equipes/64ee4f5e/historique/Stats-et-historique-de-DJK-Arminia-Klosterhardt-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/64ee4f5e.png"""
2276,DSC Arminia Bielefeld,https://fbref.com/fr/equipes/62838af6/historique/Stats-et-historique-de-DSC-Arminia-Bielefeld,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/62838af6.png"""
2277,DSC Arminia Bielefeld U17,https://fbref.com/fr/equipes/b76f6237/historique/Stats-et-historique-de-DSC-Arminia-Bielefeld-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/b76f6237.png"""
2278,DSC Arminia Bielefeld U19,https://fbref.com/fr/equipes/6d14c1f7/historique/Stats-et-historique-de-DSC-Arminia-Bielefeld-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/6d14c1f7.png"""
2279,Düsseldorf U17,https://fbref.com/fr/equipes/5d67715c/historique/Stats-et-historique-de-Dusseldorf-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/5d67715c.png"""
2280,Düsseldorf U19,https://fbref.com/fr/equipes/e2bede9e/historique/Stats-et-historique-de-Dusseldorf-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/e2bede9e.png"""
2281,Dynamo Dresden,https://fbref.com/fr/equipes/ac36c181/historique/Stats-et-historique-de-Dresden,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ac36c181.png"""
2282,Eimsbütteler TV U17,https://fbref.com/fr/equipes/4b8fcb92/historique/Stats-et-historique-de-Eimsbutteler-TV-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/4b8fcb92.png"""
2283,Eimsbütteler TV U19,https://fbref.com/fr/equipes/f714f931/historique/Stats-et-historique-de-Eimsbutteler-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/f714f931.png"""
2284,Eintracht Braunschweig,https://fbref.com/fr/equipes/8107958d/historique/Stats-et-historique-de-Eintracht-Braunschweig,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/8107958d.png"""
2285,Eintracht Braunschweig,https://fbref.com/fr/equipes/eec82247/historique/Stats-et-historique-de-Eintracht-Braunschweig-Women,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/eec82247.png"""
2286,Eintracht Braunschweig U17,https://fbref.com/fr/equipes/b2a8da6b/historique/Stats-et-historique-de-Eintracht-Braunschweig-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/b2a8da6b.png"""
2287,Eintracht Braunschweig U19,https://fbref.com/fr/equipes/f1161405/historique/Stats-et-historique-de-Eintracht-Braunschweig-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/f1161405.png"""
2288,Eintracht Frankfurt,https://fbref.com/fr/equipes/97b7c0e8/historique/Stats-et-historique-de-Eintracht-Frankfurt-Women,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/97b7c0e8.png"""
2289,Eintracht Frankfurt,https://fbref.com/fr/equipes/f0ac8ee6/historique/Stats-et-historique-de-Eintracht-Frankfurt,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/f0ac8ee6.png"""
2290,Eintracht Frankfurt U17,https://fbref.com/fr/equipes/34640cc6/historique/Stats-et-historique-de-Eintracht-Frankfurt-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/34640cc6.png"""
2291,Eintracht Frankfurt U19,https://fbref.com/fr/equipes/7cc68edf/historique/Stats-et-historique-de-Eintracht-Frankfurt-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/7cc68edf.png"""
2292,ESV Lok Meiningen,https://fbref.com/fr/equipes/3da48493/historique/Stats-et-historique-de-ESV-Lok-Meiningen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/3da48493.png"""
2293,FC 08 Homburg,https://fbref.com/fr/equipes/89a86c55/historique/Stats-et-historique-de-Homburg,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/89a86c55.png"""
2294,FC 08 Villingen,https://fbref.com/fr/equipes/f554f7de/historique/Stats-et-historique-de-FC-08-Villingen,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/f554f7de.png"""
2295,FC Astoria Walldorf,https://fbref.com/fr/equipes/7d5a4a78/historique/Stats-et-historique-de-FC-Astoria-Walldorf,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/7d5a4a78.png"""
2296,FC Astoria Walldorf U19,https://fbref.com/fr/equipes/402b13ac/historique/Stats-et-historique-de-Astoria-Walldorf-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/402b13ac.png"""
2297,FC Augsburg,https://fbref.com/fr/equipes/0cdc4311/historique/Stats-et-historique-de-Augsburg,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/0cdc4311.png"""
2298,FC Augsburg U17,https://fbref.com/fr/equipes/bf9fcad9/historique/Stats-et-historique-de-FC-Augsburg-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/bf9fcad9.png"""
2299,FC Augsburg U19,https://fbref.com/fr/equipes/41d91186/historique/Stats-et-historique-de-FC-Augsburg-U19,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/41d91186.png"""
2300,FC Bayern München U17,https://fbref.com/fr/equipes/8b10a09d/historique/Stats-et-historique-de-FC-Bayern-Munchen-U17,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/8b10a09d.png"""
