,_id,player,manager,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp,count(manager)
71,6193c0a3d4e110bca6418a49,Zak-Mills,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,6193c0a3d4e110bca6418a4a,Elliott-Moore,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73,6193c0a3d4e110bca6418a4b,Christian-Mora,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74,6193c0a3d4e110bca6418a4c,Bojan-Mladovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,6193c0a3d4e110bca6418a4d,Mario-Mladenovski,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76,6193c0a3d4e110bca6418a4e,Joseph-Mills,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77,6193c0a3d4e110bca6418a4f,Cavanagh-Miley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
78,6193c0a3d4e110bca6418a50,Joseph-Mhlongo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79,6193c0a3d4e110bca6418a51,Michael-Miller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,6193c0a3d4e110bca6418a52,Luis-Miquissone,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
81,6193c0a3d4e110bca6418a53,Nathan-Monzango,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
82,6193c0a3d4e110bca6418a54,Ahmed-Moein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
83,6193c0a3d4e110bca6418a55,Arturo-Molina,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
84,6193c0a3d4e110bca6418a56,Abdal-Razak-Al-Mohamad,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
85,6193c0a3d4e110bca6418a57,Anthony-Mfa-Mezui,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0
86,6193c0a3d4e110bca6418a58,Neofytos-Michael,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
87,6193c0a3d4e110bca6418a59,Sven-Michel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
88,6193c0a3d4e110bca6418a5a,Sphelele-Mkhulise,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
89,6193c0a3d4e110bca6418a5b,Falko-Michel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
90,6193c0a3d4e110bca6418a5c,Sergej-Milinkovic-Savic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,6193c0a3d4e110bca6418a5d,Reziuan-Mirzov,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,6193c0a3d4e110bca6418a5e,Nemanja-Milojevic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93,6193c0a3d4e110bca6418a5f,Anton-Miranchuk,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
94,6193c0a3d4e110bca6418a60,William-Moje,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95,6193c0a3d4e110bca6418a61,Prak-Mony-Udom,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,6193c0a3d4e110bca6418a62,Ramon-Mierez,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,6193c0a3d4e110bca6418a63,Danilo-Milenkovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98,6193c0a3d4e110bca6418a64,Mickel-Miller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
99,6193c0a3d4e110bca6418a65,Victor-Mollejo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,6193c0a3d4e110bca6418a66,Nahuel-Molina,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
101,6193c0a3d4e110bca6418a67,Tobias-Mohr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
102,6193c0a3d4e110bca6418a68,Marco-Modolo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
103,6193c0a3d4e110bca6418a69,Hassan-Al-Moharrami,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,6193c0a3d4e110bca6418a6a,Andrija-Milic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,6193c0a3d4e110bca6418a6b,Nemanja-Mihajlovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
106,6193c0a3d4e110bca6418a6c,Senna-Miangue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
107,6193c0a3d4e110bca6418a6d,Gabadinho-Mhango,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
108,6193c0a3d4e110bca6418a6e,Cesar-Montes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109,6193c0a3d4e110bca6418a6f,Ivanildo-Misidjan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110,6193c0a3d4e110bca6418a70,James-Milner,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,6193c0a3d4e110bca6418a71,Ismail-Mohamad,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
