Player,Min,CS%,PKsv,PKm,Country,Year,Comp
Petr Cech,270,33.3,0.0,0.0,Czech,2006, FIFA World Cup
Jean-Jacques Tizie,180,0.0,0.0,0.0,Côte,2006, FIFA World Cup
Thomas Srensen,855,20.0,0.0,0.0,Denmark,2006, WCQ — UEFA (M)
Oscar Mejia,180,0.0,0.0,0.0,Dominican,2006, WCQ — CONCACAF (M)
Nathaniel Angol,360,0.0,0.0,0.0,Dominica,2006, WCQ — CONCACAF (M)
Cristian Mora,360,50.0,0.0,0.0,Ecuador,2006, FIFA World Cup
Santos Rivera,405,25.0,0.0,0.0,El,2006, WCQ — CONCACAF (M)
Paul Robinson,480,80.0,0.0,0.0,England,2006, FIFA World Cup
Artur Kotenko,720,25.0,0.0,0.0,Estonia,2006, WCQ — UEFA (M)
Jakup Mikkelsen,630,0.0,0.0,0.0,Faroe,2006, WCQ — UEFA (M)
Jussi Jaaskelainen,450,20.0,0.0,0.0,Finland,2006, WCQ — UEFA (M)
Fabien Barthez,660,57.1,0.0,0.0,France,2006, FIFA World Cup
Akaki Devadze,382,20.0,0.0,0.0,Georgia,2006, WCQ — UEFA (M)
Jens Lehmann,600,50.0,0.0,0.0,Germany,2006, FIFA World Cup
Richard Kingson,360,25.0,0.0,0.0,Ghana,2006, FIFA World Cup
Antonios Nikopolidis,"1,080",33.3,0.0,0.0,Greece,2006, WCQ — UEFA (M)
Kellon Baptiste,360,25.0,0.0,0.0,Grenada,2006, WCQ — CONCACAF (M)
Ricardo Trigueno,900,20.0,0.0,0.0,Guatemala,2006, WCQ — CONCACAF (M)
Andrew Durant,118,0.0,0.0,0.0,Guyana,2006, WCQ — CONCACAF (M)
Gabard Fenelon,270,33.3,0.0,0.0,Haiti,2006, WCQ — CONCACAF (M)
Noel Valladares,450,0.0,0.0,0.0,Honduras,2006, WCQ — CONCACAF (M)
Fan Chun Yip,540,16.7,0.0,0.0,Hong,2006, WCQ — AFC (M)
Gabor Kiraly,900,30.0,0.0,0.0,Hungary,2006, WCQ — UEFA (M)
Arni Gautur Arason,810,11.1,0.0,0.0,Iceland,2006, WCQ — UEFA (M)
Sangram Mukherjee,360,50.0,0.0,0.0,India,2006, WCQ — AFC (M)
Hendro Kartiko,360,25.0,0.0,0.0,Indonesia,2006, WCQ — AFC (M)
Ebrahim Mirzapour,270,0.0,0.0,0.0,Iran,2006, FIFA World Cup
Noor Sabri,360,0.0,0.0,0.0,Iraq,2006, WCQ — AFC (M)
Nir Davidovich,630,28.6,0.0,0.0,Israel,2006, WCQ — UEFA (M)
Gianluigi Buffon,690,71.4,0.0,0.0,Italy,2006, FIFA World Cup
Donovan Ricketts,600,28.6,0.0,0.0,Jamaica,2006, WCQ — CONCACAF (M)
Yoshikatsu Kawaguchi,270,33.3,0.0,0.0,Japan,2006, FIFA World Cup
Amer Shafi,360,50.0,0.0,0.0,Jordan,2006, WCQ — AFC (M)
Yuri Novikov,592,0.0,0.0,0.0,Kazakhstan,2006, WCQ — UEFA (M)
Sim Sung-chol,630,14.3,0.0,0.0,Korea,2006, WCQ — AFC (M)
Lee Woon-jae,270,0.0,0.0,0.0,Korea,2006, FIFA World Cup
Shehab Kankoune,900,40.0,0.0,0.0,Kuwait,2006, WCQ — AFC (M)
Zakir Jalilov,720,37.5,0.0,0.0,Kyrgyzstan,2006, WCQ — AFC (M)
Siththalay Khanyavong,466,0.0,0.0,0.0,Laos,2006, WCQ — AFC (M)
Aleksandrs Kolinko,810,11.1,0.0,0.0,Latvia,2006, WCQ — UEFA (M)
Ziad Al-Samad,540,50.0,0.0,0.0,Lebanon,2006, WCQ — AFC (M)
Peter Jehle,900,30.0,0.0,0.0,Liechtenstein,2006, WCQ — UEFA (M)
Zydrunas Karcemarskas,900,30.0,0.0,0.0,Lithuania,2006, WCQ — UEFA (M)
