,NomDesClubs,lienClubDetails,SexeDuClub,divisionDuClub,linkDivisionDetail,DebutSaisonSave,DerniereSaisonSave,NombreDeCompetitionJoue,nombreDePremierePlace
0,St. Panteleimon FC,https://fbref.com/fr/equipes/6c7338c6/historique/Stats-et-historique-de-St-Panteleimon-FC,H, -- no info -- ,pas de détails ,2021-2022,2021-2022,0,
0,Stafford Rangers FC,https://fbref.com/fr/equipes/f9c4cb51/historique/Stats-et-historique-de-Stafford-Rangers,H, -- no info -- ,pas de détails ,2006-2007,2021-2022,2,0
0,Staines Town FC,https://fbref.com/fr/equipes/0ed698dc/historique/Stats-et-historique-de-Staines-Town-FC,H, -- no info -- ,pas de détails ,2015-2016,2021-2022,0,0
0,Stalybridge Celtic FC,https://fbref.com/fr/equipes/fe0e252b/historique/Stats-et-historique-de-Stalybridge-Celtic-FC,H, -- no info -- ,pas de détails ,2015-2016,2021-2022,0,0
0,Stamford AFC,https://fbref.com/fr/equipes/3e0743ad/historique/Stats-et-historique-de-Stamford-AFC,H, -- no info -- ,pas de détails ,2016-2017,2021-2022,0,0
0,Stansfeld O&BC FC,https://fbref.com/fr/equipes/b441e777/historique/Stats-et-historique-de-Stansfeld-OandBC,H, -- no info -- ,pas de détails ,2020-2021,2020-2021,0,
0,Stansted FC,https://fbref.com/fr/equipes/1c9242b4/historique/Stats-et-historique-de-Stansted-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Stanway Rovers FC,https://fbref.com/fr/equipes/fb1591bd/historique/Stats-et-historique-de-Stanway-Rovers-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Staveley Miners Welfare FC,https://fbref.com/fr/equipes/0535e90f/historique/Stats-et-historique-de-Staveley-Miners-Welfare-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Stevenage FC,https://fbref.com/fr/equipes/aca0450a/historique/Stats-et-historique-de-Stevenage,H,EFL League Two,https://fbref.com/fr/comps/16/Statistiques-League-Two,2006-2007,2021-2022,16,1
0,Steyning Town FC,https://fbref.com/fr/equipes/2c7f18b0/historique/Stats-et-historique-de-Steyning-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Stockport County FC,https://fbref.com/fr/equipes/c6ce4b54/historique/Stats-et-historique-de-Stockport-County,H,National League,https://fbref.com/fr/comps/34/Statistiques-National-League,2001-2002,2021-2022,15,0
0,Stocksbridge Park Steels FC,https://fbref.com/fr/equipes/da844a1a/historique/Stats-et-historique-de-Stocksbridge-Park-Steels-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Stockton Town FC,https://fbref.com/fr/equipes/f2d6b769/historique/Stats-et-historique-de-Stockton-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Stoke City FC,https://fbref.com/fr/equipes/17892952/historique/Stats-et-historique-de-Stoke-City,H,EFL Championship,https://fbref.com/fr/comps/10/Statistiques-Championship,2002-2003,2021-2022,20,0
0,Stoke City FC U23,https://fbref.com/fr/equipes/c85cd2da/historique/Stats-et-historique-de-Stoke-City-U23,H,Premier League 2 — Division 2,https://fbref.com/fr/comps/853/Statistiques-Premier-League-2----Division-2,2016-2017,2021-2022,6,
0,Stone Old Alleynians FC,https://fbref.com/fr/equipes/2ce8f8f5/historique/Stats-et-historique-de-Stone-Old-Alleynians-FC,H, -- no info -- ,pas de détails ,2019-2020,2021-2022,0,
0,Stotfold FC,https://fbref.com/fr/equipes/c807ab11/historique/Stats-et-historique-de-Stotfold-FC,H, -- no info -- ,pas de détails ,2017-2018,2019-2020,0,
0,Stourbridge FC,https://fbref.com/fr/equipes/b1dea8b9/historique/Stats-et-historique-de-Stourbridge-FC,H, -- no info -- ,pas de détails ,2015-2016,2021-2022,0,0
0,Stourport Swifts FC,https://fbref.com/fr/equipes/f1ef66fc/historique/Stats-et-historique-de-Stourport-Swifts-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Stowmarket Town FC,https://fbref.com/fr/equipes/f8c64351/historique/Stats-et-historique-de-Stowmarket-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Stratford Town FC,https://fbref.com/fr/equipes/545b8a92/historique/Stats-et-historique-de-Stratford-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,0
0,Street FC,https://fbref.com/fr/equipes/02c5a520/historique/Stats-et-historique-de-Street-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Sun Postal Sports FC,https://fbref.com/fr/equipes/ffd57349/historique/Stats-et-historique-de-Sun-Postal-Sports-FC,H, -- no info -- ,pas de détails ,2017-2018,2017-2018,0,
0,Sunderland AFC,https://fbref.com/fr/equipes/8ef52968/historique/Stats-et-historique-de-Sunderland,H,EFL League One,https://fbref.com/fr/comps/15/Statistiques-League-One,1996-1997,2021-2022,24,2
0,Sunderland AFC Ladies,https://fbref.com/fr/equipes/5c4949e8/historique/Stats-et-historique-de-Sunderland-Women,F, -- no info -- ,pas de détails ,2017,2017-2018,2,
0,Sunderland AFC U23,https://fbref.com/fr/equipes/fff2fd6b/historique/Stats-et-historique-de-Sunderland-U23,H,Premier League 2 — Division 2,https://fbref.com/fr/comps/853/Statistiques-Premier-League-2----Division-2,2016-2017,2021-2022,6,
