Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Guillermo-Maripan,cl CHI,Monaco,27-193,DF,1994,550.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,425.0,91.6,14.0,3.0,0.0,40.4,57.0,12.0,8.0,61.53846153846154
Marquinhos,br BRA,Paris S-G,27-185,DF,1994,810.0,9.0,9.0,1.0,0.11,0.0,0.0,0.22,40.0,5.0,574.0,91.3,13.0,10.0,0.0,26.2,61.0,9.0,3.0,30.0
Jonas-Martin,fr FRA,Rennes,31-220,MF,1990,403.0,5.0,5.0,1.0,0.22,0.0,0.0,0.45,20.0,10.0,277.0,91.4,4.0,0.0,0.0,25.0,64.0,12.0,6.0,46.15384615384615
Gelson-Martins,pt POR,Monaco,26-188,"MF,FW",1995,799.0,12.0,11.0,2.0,0.23,2.0,0.23,0.56,45.5,11.0,219.0,75.8,9.0,1.0,0.0,33.9,168.0,18.0,12.0,63.1578947368421
Pape-Matar-Sarr,sn SEN,Metz,19-062,"MF,FW",2002,917.0,13.0,10.0,0.0,0.0,3.0,0.29,0.29,21.4,14.0,387.0,82.2,15.0,1.0,0.0,32.2,180.0,26.0,17.0,62.96296296296296
Eliot-Matazo,be BEL,Monaco,19-273,MF,2002,363.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,157.0,90.2,7.0,1.0,0.0,35.9,64.0,7.0,7.0,87.5
Chrislain-Matsima,fr FRA,Monaco,19-184,DF,2002,60.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,97.1,2.0,1.0,0.0,33.3,12.0,2.0,1.0,33.33333333333333
Azor-Matusiwa,nl NED,Reims,23-201,MF,1998,762.0,9.0,9.0,0.0,0.0,1.0,0.12,0.0,0.0,1.0,312.0,84.8,18.0,1.0,0.0,37.0,138.0,28.0,18.0,62.06896551724138
Stephy-Mavididi,eng ENG,Montpellier,23-168,FW,1998,947.0,12.0,11.0,3.0,0.29,4.0,0.38,0.76,34.8,23.0,199.0,79.3,9.0,1.0,0.0,22.4,174.0,14.0,5.0,33.33333333333333
Kylian-Mbappe,fr FRA,Paris S-G,22-330,FW,1998,1048.0,12.0,12.0,6.0,0.52,10.0,0.86,1.2,31.1,45.0,373.0,78.7,5.0,0.0,0.0,30.3,89.0,7.0,5.0,62.5
Amadou-Mbengue,sn SEN,Metz,19-314,"DF,MF",2002,189.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,83.8,1.0,1.0,0.0,36.1,36.0,10.0,6.0,54.54545454545454
Nathanael-Mbuku,fr FRA,Reims,19-244,"FW,MF",2002,547.0,12.0,7.0,0.0,0.0,2.0,0.33,0.99,54.5,11.0,125.0,78.1,11.0,0.0,0.0,31.0,87.0,5.0,4.0,66.66666666666666
Facundo-Medina,ar ARG,Lens,22-171,DF,1999,971.0,11.0,11.0,1.0,0.09,0.0,0.0,0.19,40.0,5.0,719.0,91.2,21.0,3.0,0.0,40.5,126.0,27.0,16.0,57.14285714285714
Farid-El-Melali,dz ALG,Angers,24-125,FW,1997,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,16.7,6.0,0.0,0.0,0.0
Birger-Meling,no NOR,Rennes,26-333,DF,1994,1023.0,12.0,12.0,0.0,0.0,3.0,0.26,0.09,33.3,3.0,545.0,86.6,16.0,3.0,0.0,36.4,140.0,30.0,19.0,61.29032258064516
Houboulang-Mendes,fr FRA,Lorient,23-195,DF,1998,1075.0,12.0,12.0,0.0,0.0,0.0,0.0,0.08,20.0,5.0,394.0,84.4,25.0,16.0,0.0,34.5,139.0,17.0,10.0,55.55555555555556
Nuno-Mendes,pt POR,Paris S-G,19-149,DF,2002,408.0,7.0,4.0,0.0,0.0,1.0,0.22,0.0,0.0,1.0,219.0,86.6,12.0,3.0,0.0,40.6,64.0,10.0,7.0,63.63636363636363
Thiago-Mendes,br BRA,Lyon,29-245,MF,1992,340.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,203.0,88.3,14.0,2.0,0.0,25.7,74.0,13.0,7.0,50.0
Arial-Mendy,sn SEN,Clermont Foot,27-008,DF,1994,204.0,4.0,2.0,0.0,0.0,0.0,0.0,0.44,25.0,4.0,104.0,77.0,3.0,1.0,0.0,23.5,17.0,2.0,2.0,66.66666666666666
Batista-Mendy,fr FRA,Angers,21-307,MF,2000,909.0,11.0,11.0,0.0,0.0,0.0,0.0,0.1,20.0,5.0,364.0,88.3,13.0,2.0,0.0,32.2,214.0,27.0,19.0,67.85714285714286
Gideon-Mensah,gh GHA,Bordeaux,23-120,DF,1998,293.0,6.0,3.0,0.0,0.0,2.0,0.61,0.0,0.0,1.0,175.0,87.9,4.0,0.0,0.0,25.8,66.0,9.0,5.0,50.0
Quentin-Merlin,fr FRA,Nantes,19-183,MF,2002,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,81.8,0.0,0.0,0.0,27.8,18.0,2.0,1.0,33.33333333333333
Lionel-Messi,ar ARG,Paris S-G,34-144,"MF,FW",1987,325.0,5.0,4.0,0.0,0.0,0.0,0.0,1.11,26.7,15.0,176.0,81.5,3.0,0.0,0.0,19.4,36.0,2.0,1.0,33.33333333333333
Mexer,mz MOZ,Bordeaux,33-068,DF,1988,596.0,8.0,7.0,1.0,0.15,0.0,0.0,0.15,50.0,2.0,289.0,86.3,17.0,2.0,0.0,46.4,28.0,11.0,7.0,58.333333333333336
Georges-Mikautadze,ge GEO,Metz,21-015,FW,2000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Arkadiusz-Milik,pl POL,Marseille,27-260,FW,1994,418.0,6.0,4.0,1.0,0.22,2.0,0.43,0.86,23.5,17.0,99.0,81.1,0.0,0.0,0.0,27.7,65.0,2.0,1.0,33.33333333333333
Terem-Moffi,ng NGA,Lorient,22-174,FW,1999,989.0,12.0,12.0,2.0,0.18,6.0,0.55,0.27,14.3,21.0,146.0,73.0,2.0,0.0,0.0,30.1,136.0,5.0,4.0,66.66666666666666
Dion-Moise-Sahi,ci CIV,Strasbourg,19-330,FW,2001,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florent-Mollet,fr FRA,Montpellier,29-361,"FW,MF",1991,926.0,12.0,11.0,4.0,0.39,4.0,0.39,0.58,28.6,21.0,306.0,79.7,10.0,2.0,0.0,26.3,160.0,13.0,5.0,35.714285714285715
Thomas-Monconduit,fr FRA,Lorient,30-278,MF,1991,674.0,12.0,8.0,2.0,0.27,2.0,0.27,0.53,40.0,10.0,291.0,77.2,11.0,1.0,0.0,24.7,146.0,12.0,10.0,76.92307692307693
Jeremy-Morel,mg MAD,Lorient,37-227,DF,1984,315.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.0,82.9,10.0,4.0,0.0,44.8,29.0,10.0,6.0,54.54545454545454
Baptiste-Mouazan,fr FRA,Lorient,20-049,MF,2001,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Aimen-Moueffek,fr FRA,Saint-Étienne,20-220,MF,2001,186.0,3.0,2.0,0.0,0.0,0.0,0.0,0.48,25.0,4.0,64.0,86.5,1.0,0.0,0.0,42.5,40.0,2.0,1.0,33.33333333333333
Harold-Moukoudi,cm CMR,Saint-Étienne,23-353,DF,1997,945.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,430.0,90.5,25.0,6.0,0.0,50.5,99.0,17.0,12.0,66.66666666666666
Steve-Mounie,bj BEN,Brest,27-047,FW,1994,906.0,11.0,10.0,3.0,0.3,3.0,0.3,1.09,36.7,30.0,158.0,56.2,3.0,2.0,0.0,26.3,205.0,5.0,2.0,33.33333333333333
Samuel-Moutoussamy,cd COD,Nantes,25-095,MF,1996,240.0,11.0,1.0,0.0,0.0,0.0,0.0,1.13,75.0,4.0,70.0,73.7,4.0,0.0,0.0,18.2,99.0,13.0,11.0,78.57142857142857
Marshall-Munetsi,zw ZIM,Reims,25-146,MF,1996,725.0,9.0,8.0,1.0,0.12,2.0,0.25,0.37,21.4,14.0,174.0,84.5,20.0,3.0,0.0,31.2,170.0,30.0,14.0,45.16129032258064
Kevin-N'Doram,fr FRA,Metz,25-297,"MF,DF",1996,453.0,6.0,6.0,0.0,0.0,0.0,0.0,0.2,50.0,2.0,120.0,80.0,12.0,2.0,0.0,26.5,83.0,4.0,4.0,80.0
Vital-N'Simba,cd COD,Clermont Foot,28-130,DF,1993,966.0,13.0,11.0,1.0,0.09,4.0,0.37,0.09,14.3,7.0,484.0,78.3,23.0,0.0,0.0,40.3,119.0,31.0,24.0,75.0
Mickael-Nade,fr FRA,Saint-Étienne,22-256,DF,1999,529.0,7.0,6.0,1.0,0.17,0.0,0.0,0.17,25.0,4.0,197.0,86.0,16.0,1.0,0.0,49.2,59.0,14.0,9.0,60.0
Paul-Nardi,fr FRA,Lorient,27-181,GK,1994,1170.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,49.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Keylor-Navas,cr CRC,Paris S-G,34-335,GK,1986,720.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,91.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Papa-Ndiaga-Yade,sn SEN,Metz,21-314,"DF,MF",2000,256.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,78.0,77.2,6.0,0.0,0.0,28.6,42.0,8.0,3.0,33.33333333333333
Dan-Ndoye,ch SUI,Nice,21-021,"FW,MF",2000,205.0,3.0,2.0,0.0,0.0,1.0,0.44,0.0,0.0,3.0,38.0,70.4,0.0,0.0,0.0,18.9,37.0,1.0,1.0,50.0
Neymar,br BRA,Paris S-G,29-283,"FW,MF",1992,672.0,8.0,8.0,3.0,0.4,6.0,0.8,0.8,40.0,15.0,344.0,74.6,6.0,0.0,0.0,29.3,99.0,10.0,6.0,54.54545454545454
Yvan-Neyou,cm CMR,Saint-Étienne,24-316,MF,1997,811.0,11.0,11.0,0.0,0.0,0.0,0.0,0.33,60.0,5.0,361.0,85.1,22.0,3.0,0.0,35.3,133.0,27.0,15.0,53.57142857142857
Opa-Nguette,sn SEN,Metz,27-130,"MF,FW",1994,119.0,6.0,1.0,0.0,0.0,2.0,1.51,1.51,33.3,6.0,15.0,71.4,2.0,1.0,0.0,26.1,23.0,3.0,3.0,75.0
Sikou-Niakate,fr FRA,Metz,22-128,DF,1999,206.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,85.2,8.0,4.0,0.0,24.0,25.0,4.0,2.0,40.0
Ibrahima-Niane,sn SEN,Metz,22-249,FW,1999,800.0,11.0,11.0,1.0,0.11,4.0,0.45,0.56,21.7,23.0,158.0,74.5,2.0,1.0,0.0,28.0,93.0,0.0,0.0,0.0
M'Baye-Niang,sn SEN,Bordeaux,26-331,FW,1994,40.0,2.0,0.0,1.0,2.25,1.0,2.25,4.5,66.7,3.0,8.0,88.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Cheikh-Niasse,sn SEN,Lille,21-300,MF,2000,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,50.0
Casimir-Ninga,td CHA,Angers,28-182,FW,1993,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,7.1,14.0,2.0,0.0,0.0
Arnaud-Nordin,fr FRA,Saint-Étienne,23-151,"FW,MF",1998,546.0,13.0,5.0,1.0,0.16,5.0,0.82,0.99,50.0,12.0,166.0,77.9,3.0,0.0,0.0,30.9,97.0,12.0,9.0,69.23076923076923
Alexander-Nubel,de GER,Monaco,25-046,GK,1996,1170.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerzino-Nyamsi,fr FRA,Strasbourg,24-297,DF,1997,734.0,9.0,8.0,0.0,0.0,2.0,0.25,0.0,0.0,5.0,277.0,86.3,8.0,7.0,0.0,41.2,51.0,5.0,4.0,66.66666666666666
Florent-Ogier,fr FRA,Clermont Foot,32-239,DF,1989,1052.0,12.0,12.0,0.0,0.0,1.0,0.09,0.17,40.0,5.0,529.0,85.2,10.0,10.0,1.0,37.2,86.0,14.0,8.0,53.333333333333336
Warmed-Omari,fr FRA,Rennes,21-206,DF,2000,735.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,431.0,93.3,14.0,4.0,0.0,35.4,65.0,12.0,8.0,61.53846153846154
Jonas-Omlin,ch SUI,Montpellier,27-309,GK,1994,720.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,74.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Amadou-Onana,be BEL,Lille,20-091,"MF,FW",2001,279.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,83.7,12.0,0.0,0.0,35.0,60.0,6.0,3.0,42.857142857142854
Jean-Onana,cm CMR,Bordeaux,21-311,MF,2000,485.0,6.0,6.0,2.0,0.37,3.0,0.56,0.37,28.6,7.0,259.0,80.9,23.0,0.0,0.0,28.7,136.0,15.0,8.0,50.0
Otavio,br BRA,Bordeaux,27-195,MF,1994,933.0,12.0,11.0,0.0,0.0,1.0,0.1,0.1,14.3,7.0,483.0,87.8,10.0,2.0,0.0,27.9,244.0,35.0,25.0,69.44444444444444
Aboubacar-Ouattara,bf BFA,Lorient,19-277,"FW,MF",2002,42.0,5.0,0.0,0.0,0.0,0.0,0.0,2.14,100.0,1.0,9.0,50.0,0.0,0.0,0.0,36.8,19.0,3.0,2.0,50.0
Remi-Oudin,fr FRA,Bordeaux,24-362,"MF,FW",1996,538.0,11.0,5.0,1.0,0.17,1.0,0.17,0.84,33.3,15.0,157.0,71.7,10.0,1.0,0.0,23.3,60.0,7.0,5.0,62.5
Alexandre-Oukidja,dz ALG,Metz,33-119,GK,1988,1167.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,61.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Azzedine-Ounahi,ma MAR,Angers,21-210,MF,2000,417.0,12.0,3.0,2.0,0.43,1.0,0.22,0.43,22.2,9.0,214.0,87.7,7.0,0.0,0.0,29.2,137.0,21.0,16.0,72.72727272727273
Vincent-Pajot,fr FRA,Metz,31-088,MF,1990,782.0,12.0,10.0,0.0,0.0,0.0,0.0,0.12,50.0,2.0,310.0,85.6,22.0,1.0,0.0,29.7,185.0,33.0,22.0,64.70588235294117
Nicolas-Pallois,fr FRA,Nantes,34-057,DF,1987,1073.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,367.0,82.5,34.0,9.0,0.0,33.3,84.0,21.0,14.0,63.63636363636363
Erik-Palmer-Brown,us USA,Troyes,24-205,DF,1997,89.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,70.0,1.0,0.0,0.0,50.0,10.0,4.0,0.0,0.0
Emerson-Palmieri,it ITA,Lyon,27-104,DF,1994,823.0,10.0,10.0,1.0,0.11,2.0,0.22,0.33,100.0,3.0,567.0,85.9,16.0,2.0,0.0,42.6,61.0,19.0,15.0,75.0
Lucas-Paqueta,br BRA,Lyon,24-080,"FW,MF",1997,904.0,13.0,10.0,5.0,0.5,8.0,0.8,1.49,42.9,35.0,356.0,76.1,9.0,0.0,0.0,35.5,214.0,29.0,20.0,66.66666666666666
Ruben-Pardo,es ESP,Bordeaux,29-024,MF,1992,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Leandro-Paredes,ar ARG,Paris S-G,27-139,MF,1994,106.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,95.6,2.0,2.0,0.0,36.4,11.0,2.0,1.0,33.33333333333333
Strahinja-Pavlovic,rs SRB,Monaco,20-175,DF,2001,374.0,6.0,4.0,0.0,0.0,0.0,0.0,0.24,25.0,4.0,286.0,84.9,11.0,2.0,0.0,51.6,62.0,18.0,12.0,63.1578947368421
Dimitri-Payet,fr FRA,Marseille,34-231,"MF,FW",1987,844.0,10.0,9.0,6.0,0.64,4.0,0.43,0.85,36.4,22.0,337.0,75.2,5.0,0.0,0.0,26.3,80.0,3.0,2.0,50.0
Timothee-Pembele,fr FRA,Bordeaux,19-067,DF,2002,676.0,12.0,8.0,1.0,0.13,1.0,0.13,0.67,38.5,13.0,220.0,73.8,15.0,1.0,1.0,23.2,99.0,8.0,5.0,55.55555555555556
Mathias-Pereira-Lage,pt POR,Angers,24-350,"DF,MF",1996,66.0,8.0,0.0,0.0,0.0,1.0,1.36,0.0,0.0,3.0,23.0,65.7,2.0,2.0,0.0,26.9,26.0,3.0,1.0,25.0
Danilo-Pereira,pt POR,Paris S-G,30-067,MF,1991,587.0,8.0,6.0,1.0,0.15,0.0,0.0,0.15,33.3,3.0,489.0,94.2,13.0,3.0,0.0,34.8,69.0,9.0,7.0,70.0
Luan-Peres-Petroni,br BRA,Marseille,27-119,DF,1994,1029.0,13.0,11.0,0.0,0.0,3.0,0.26,0.0,0.0,1.0,707.0,88.7,24.0,9.0,0.0,29.2,120.0,34.0,14.0,40.0
Lucas-Perrin,fr FRA,Strasbourg,22-361,DF,1998,625.0,9.0,7.0,0.0,0.0,1.0,0.14,0.14,33.3,3.0,302.0,87.3,21.0,2.0,0.0,21.7,60.0,12.0,5.0,38.46153846153847
Danijel-Petkovic,me MNE,Angers,28-174,GK,1993,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leo-Petrot,fr FRA,Lorient,24-214,DF,1997,261.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,83.2,11.0,2.0,0.0,27.8,18.0,4.0,0.0,0.0
Romain-Philippoteaux,fr FRA,Brest,33-258,MF,1988,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,71.4,0.0,0.0,0.0,20.0,5.0,1.0,1.0,50.0
Ronael-Pierre-Gabriel,fr FRA,Brest,23-155,DF,1998,1025.0,12.0,12.0,0.0,0.0,3.0,0.26,0.09,25.0,4.0,517.0,84.8,34.0,1.0,0.0,29.8,168.0,25.0,15.0,57.692307692307686
Julian-Pollersbeck,de GER,Lyon,27-091,GK,1994,105.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sanjin-Prcic,ba BIH,Strasbourg,27-360,MF,1993,733.0,11.0,9.0,1.0,0.12,3.0,0.37,0.25,20.0,10.0,367.0,85.2,15.0,2.0,0.0,33.6,119.0,20.0,13.0,61.904761904761905
Nicolas-de-Preville,fr FRA,Metz,30-311,"FW,MF",1991,591.0,9.0,7.0,2.0,0.3,1.0,0.15,0.46,27.3,11.0,109.0,66.1,3.0,1.0,0.0,27.7,119.0,8.0,3.0,33.33333333333333
Nemanja-Radonjic,rs SRB,Marseille,25-273,MF,1996,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,90.0,0.0,0.0,0.0,33.3,6.0,0.0,0.0,0.0
Rafinha,br BRA,Paris S-G,28-276,"FW,MF",1993,220.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,168.0,90.8,4.0,0.0,0.0,32.4,71.0,11.0,7.0,58.333333333333336
Predrag-Rajkovic,rs SRB,Reims,26-015,GK,1995,1170.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,69.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Adil-Rami,fr FRA,Troyes,35-323,DF,1985,320.0,4.0,3.0,1.0,0.28,0.0,0.0,0.28,100.0,1.0,87.0,83.7,3.0,1.0,0.0,41.2,17.0,2.0,1.0,33.33333333333333
Elba-Rashani,xk KVX,Clermont Foot,28-190,FW,1993,748.0,13.0,9.0,4.0,0.48,3.0,0.36,0.48,40.0,10.0,217.0,82.2,11.0,3.0,0.0,30.2,189.0,22.0,16.0,69.56521739130434
Renaud-Ripart,fr FRA,Troyes,28-246,"FW,DF",1993,840.0,11.0,10.0,0.0,0.0,1.0,0.11,0.86,42.1,19.0,213.0,73.2,5.0,2.0,0.0,22.0,168.0,17.0,10.0,55.55555555555556
Mihailo-Ristic,rs SRB,Montpellier,26-015,DF,1995,482.0,12.0,4.0,0.0,0.0,0.0,0.0,0.19,11.1,9.0,227.0,77.7,13.0,2.0,0.0,30.4,69.0,13.0,7.0,50.0
Maxence-Rivera,fr FRA,Saint-Étienne,19-169,FW,2002,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,4.0,0.0,0.0,0.0
Patrick-Roberts,eng ENG,Troyes,24-283,DF,1997,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stian-Rode-Gregersen,no NOR,Bordeaux,26-182,DF,1995,636.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,259.0,89.3,18.0,6.0,1.0,40.0,75.0,14.0,9.0,60.0
Gerson-Rodrigues,lu LUX,Troyes,26-148,FW,1995,465.0,7.0,5.0,1.0,0.19,0.0,0.0,0.39,20.0,10.0,89.0,73.0,2.0,1.0,0.0,14.0,107.0,6.0,5.0,71.42857142857143
Valentin-Rongier,fr FRA,Marseille,26-343,"MF,DF",1994,585.0,9.0,7.0,0.0,0.0,2.0,0.31,0.31,18.2,11.0,446.0,91.6,12.0,1.0,0.0,31.0,145.0,26.0,20.0,74.07407407407408
Pablo-Rosario,nl NED,Nice,24-312,MF,1997,928.0,13.0,10.0,0.0,0.0,1.0,0.1,0.19,25.0,8.0,551.0,86.8,20.0,7.0,0.0,29.9,204.0,30.0,16.0,51.61290322580645
Roli-Pereira-de-Sa,fr FRA,Nantes,24-340,MF,1996,280.0,7.0,3.0,0.0,0.0,0.0,0.0,0.32,20.0,5.0,106.0,86.2,3.0,0.0,0.0,24.3,70.0,8.0,6.0,66.66666666666666
Mathys-Saban,fr FRA,Saint-Étienne,19-184,"FW,MF",2002,73.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,72.2,0.0,0.0,0.0,7.7,13.0,1.0,0.0,0.0
Rafiki-Said-Ahamada,fr FRA,Brest,21-245,"FW,MF",2000,23.0,4.0,0.0,0.0,0.0,0.0,0.0,3.91,50.0,2.0,10.0,76.9,0.0,0.0,0.0,30.0,10.0,1.0,1.0,50.0
Wesley-Said,fr FRA,Lens,26-210,"FW,MF",1995,347.0,9.0,4.0,4.0,1.04,3.0,0.78,2.07,47.1,17.0,101.0,72.7,2.0,0.0,0.0,22.2,81.0,3.0,2.0,50.0
Mamadou-Sakho,fr FRA,Montpellier,31-275,DF,1990,802.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,89.0,17.0,6.0,0.0,46.3,54.0,14.0,8.0,53.333333333333336
William-Saliba,fr FRA,Marseille,20-236,DF,2001,1080.0,12.0,12.0,0.0,0.0,2.0,0.17,0.08,11.1,9.0,909.0,94.8,22.0,6.0,0.0,48.4,93.0,20.0,14.0,66.66666666666666
Romain-Salin,fr FRA,Rennes,37-109,GK,1984,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoann-Salmier,gf GUF,Troyes,28-359,DF,1992,885.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,316.0,88.8,25.0,7.0,0.0,34.4,90.0,17.0,9.0,50.0
Mama-Samba-Balde,gw GNB,Troyes,26-009,"FW,MF",1995,722.0,12.0,9.0,3.0,0.37,2.0,0.25,1.37,57.9,19.0,125.0,73.5,9.0,0.0,0.0,23.2,181.0,22.0,10.0,43.47826086956522
Junior-Sambia,fr FRA,Montpellier,25-069,DF,1996,691.0,11.0,8.0,0.0,0.0,2.0,0.26,0.52,50.0,8.0,281.0,78.5,17.0,3.0,0.0,25.3,83.0,11.0,4.0,33.33333333333333
Renato-Sanches,pt POR,Lille,24-089,MF,1997,342.0,6.0,4.0,0.0,0.0,3.0,0.79,0.26,25.0,4.0,191.0,79.9,4.0,0.0,0.0,41.1,56.0,11.0,10.0,83.33333333333334
Philippe-Sandler,nl NED,Troyes,24-278,DF,1997,70.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,74.1,1.0,1.0,0.0,42.9,7.0,1.0,1.0,50.0
Baptiste-Santamaria,fr FRA,Rennes,26-251,MF,1995,566.0,10.0,6.0,0.0,0.0,1.0,0.16,0.16,20.0,5.0,256.0,84.2,10.0,2.0,0.0,22.7,110.0,11.0,4.0,33.33333333333333
Pablo-Sarabia,es ESP,Paris S-G,29-188,FW,1992,22.0,2.0,0.0,1.0,4.09,0.0,0.0,4.09,100.0,1.0,13.0,65.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0
Teji-Savanier,fr FRA,Montpellier,29-328,MF,1991,981.0,11.0,11.0,3.0,0.28,8.0,0.73,1.47,44.4,36.0,463.0,69.4,15.0,0.0,0.0,30.6,180.0,23.0,15.0,62.5
Morgan-Schneiderlin,fr FRA,Nice,32-007,MF,1989,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,88.5,1.0,0.0,0.0,33.3,12.0,2.0,1.0,33.33333333333333
Alidu-Seidu,ci CIV,Clermont Foot,21-164,FW,2000,21.0,2.0,0.0,0.0,0.0,0.0,0.0,4.29,50.0,2.0,10.0,83.3,0.0,0.0,0.0,75.0,4.0,2.0,2.0,66.66666666666666
Matz-Sels,be BEL,Strasbourg,29-262,GK,1992,1170.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,247.0,71.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xherdan-Shaqiri,ch SUI,Lyon,30-036,FW,1991,488.0,7.0,7.0,1.0,0.18,1.0,0.18,0.55,37.5,8.0,204.0,77.3,2.0,0.0,0.0,29.3,41.0,5.0,3.0,50.0
Mahame-Siby,ml MLI,Strasbourg,25-131,"MF,DF",1996,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,66.7,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Djibril-Sidibe,fr FRA,Monaco,29-109,DF,1992,357.0,7.0,4.0,0.0,0.0,0.0,0.0,0.25,33.3,3.0,235.0,80.2,10.0,1.0,0.0,29.5,61.0,13.0,7.0,50.0
