Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Wu-Lei,cn CHN,Espanyol,29-361,"FW,MF",1991,274.0,10.0,3.0,0.0,0.0,0.0,0.0,0.66,100.0,2.0,38.0,76.0,4.0,0.0,0.0,31.7,41.0,2.0,2.0,66.66666666666666
Florian-Lejeune,fr FRA,Alavés,30-179,DF,1991,540.0,6.0,6.0,0.0,0.0,0.0,0.0,0.17,25.0,4.0,217.0,87.5,11.0,3.0,0.0,28.6,63.0,10.0,7.0,63.63636363636363
Inigo-Lekue,es ESP,Athletic Club,28-195,DF,1993,1028.0,12.0,11.0,0.0,0.0,4.0,0.35,0.09,20.0,5.0,492.0,75.3,19.0,3.0,0.0,29.3,133.0,17.0,10.0,55.55555555555556
Thomas-Lemar,fr FRA,Atlético Madrid,26-003,MF,1995,384.0,6.0,5.0,2.0,0.47,4.0,0.94,0.7,33.3,9.0,180.0,80.7,4.0,0.0,0.0,25.8,97.0,9.0,5.0,50.0
Clement-Lenglet,fr FRA,Barcelona,26-151,DF,1995,209.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,91.7,6.0,1.0,0.0,45.5,33.0,4.0,2.0,40.0
Marcos-Llorente,es ESP,Atlético Madrid,26-289,"MF,DF",1995,694.0,8.0,8.0,0.0,0.0,1.0,0.13,0.13,16.7,6.0,291.0,79.7,5.0,3.0,0.0,42.7,110.0,18.0,15.0,78.94736842105263
Julen-Lobete,es ESP,Real Sociedad,21-058,"FW,MF",2000,267.0,11.0,2.0,2.0,0.67,1.0,0.34,0.67,22.2,9.0,42.0,76.4,0.0,1.0,0.0,40.5,74.0,4.0,3.0,60.0
Renan-Lodi,br BRA,Atlético Madrid,23-221,DF,1998,305.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,161.0,78.9,7.0,0.0,0.0,33.3,39.0,8.0,5.0,55.55555555555556
David-Lopez,es ESP,Espanyol,32-037,MF,1989,390.0,9.0,5.0,0.0,0.0,0.0,0.0,0.23,50.0,2.0,184.0,83.6,6.0,5.0,0.0,33.9,62.0,17.0,12.0,66.66666666666666
Diego-Lopez,es ESP,Espanyol,40-012,GK,1981,1170.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,71.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
