_id,player,captain,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ab88307f48ce0ab7d8,Daniele-Mignanelli,Fabrizio Poli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7d9,Maxime-Mignon,Bernd Brughmans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7da,Catalin-Mihai-Itu,Milan Borjan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7db,Nemanja-Mihajlovic,Ryan Koolwijk,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75
618f94ab88307f48ce0ab7dc,Srdan-Mijailovic,Sergey Ryzhikov,0.0,0.44,0.0,0.0,0.0,1.56,0.0,0.28
618f94ab88307f48ce0ab7dd,Antonio-Milic,Taras Romanchuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7de,Marko-Milinkovic,Sheran Yeini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7df,Sergej-Milinkovic-Savic,Mattia Perin,1.0,1.0,0.0,21.0,3.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7e0,Eder-Militao,Cassio,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
618f94ab88307f48ce0ab7e1,Eder-Militao,Jose Luis Morales,0.0,0.0,0.0,2.5,1.0,1.5,1.5,0.25
618f94ab88307f48ce0ab7e2,Aleksandar-Miljkovic,Adam Marciniak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7e3,Vadym-Milko,Valeriy Fedorchuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7e4,George-Miller,Aron Davies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7e5,George-Miller,Paudie O'Connor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7e6,Kamal-Miller,Nani,0.04,0.0,0.0,3.32,0.68,0.32,0.96,0.6
618f94ab88307f48ce0ab7e7,Vincenzo-Millico,Gabriele Angella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7e8,Joseph-Mills,Johnny Mullins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7e9,Felix-Michel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
618f94ab88307f48ce0ab7ea,Ali-M'Madi,M'barek Boussoufa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7eb,Samy-Mmaee,Kenny Steppe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33
618f94ab88307f48ce0ab7ec,Haji-Mnoga,Jordan Rossiter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7ed,David-Moberg-Karlsson,Branislav Milosevic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7ee,Sascha-Mockenhaupt,Daniel Flottmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7ef,Jakub-Moder,Jordi Alba,0.0,0.0,0.0,31.0,2.0,0.0,2.0,0.5
618f94ab88307f48ce0ab7f0,Adrian-Moescu,Bogdan Mitrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7f1,Terem-Moffi,Morgan Schneiderlin,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7f2,Dimitri-Mohamed,Koen Persoons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7f3,Mehrdad-Mohammadi,Iago Santos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7f4,Tariq-Mohammed,Essam El-Hadary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7f5,Mohammed-Mohsen-Harzan,Abdullah Al-Zori,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
618f94ab88307f48ce0ab7f6,Romario-Moise,Cristian Sapunaru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab7f7,Thato-Mokeke,Nhlanhla Vilakazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7f8,Yannik-Moker,Yannik Moker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
618f94ab88307f48ce0ab7f9,Luckyboy-Mokoena,Ronwen Williams,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75
618f94ab88307f48ce0ab7fa,Teboho-Mokoena,Shaku Dineo Olaleng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab7fb,Clinton-Mola,Billy Gilmour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7fc,Jesus-Molina,Mauro Boselli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7fd,Jesus-Molina,Javier Salas,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.75
618f94ab88307f48ce0ab7fe,Salvatore-Molina,Andrea Caracciolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab7ff,Salvatore-Molina,Ahmad Benali,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.4
618f94ab88307f48ce0ab800,Cristian-Molinaro,Cesare Bovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab801,Florent-Mollet,Laurent Abergel,0.0,0.0,0.0,11.0,0.0,1.0,1.0,1.0
618f94ab88307f48ce0ab802,Jayson-Molumby,Tim Sparv,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
618f94ab88307f48ce0ab803,Luke-Molyneux,Carl Piergianni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
