_id,player,year,comp,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ac88307f48ce0b124d,Taylor-Moore,2021,Premiership,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.69
618f94ac88307f48ce0b124e,Alvaro-Morata,2017,WCQ — UEFA (M),0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b124f,Alberto-Moreno,2014,Premier League,0.0,0.18,0.0,0.0,0.0,1.12,0.0,0.47
618f94ac88307f48ce0b1250,Alex-Moreno,2019,La Liga,0.23,0.26,0.11,14.31,1.4,0.51,1.71,0.4
618f94ac88307f48ce0b1251,Salman-Al-Moasher,2020,Pro League,0.0,0.33,0.04,0.0,0.0,0.48,0.0,0.59
618f94ac88307f48ce0b1252,David-Moberg-Karlsson,2018,Allsvenskan,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.79
618f94ac88307f48ce0b1253,Justin-Mobius,2021,DFB-Pokal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
618f94ac88307f48ce0b1254,Luka-Modric,2010,Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
618f94ac88307f48ce0b1255,Luka-Modric,2021,Friendlies (M),0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25
618f94ac88307f48ce0b1256,Yasir-Mohammad,2017,Super League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b1257,Arturo-Molina,2021,Copa del Rey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b1258,Nahuel-Molina,2021,Coppa Italia,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
618f94ac88307f48ce0b1259,Jon-Moncayola,2019,Segunda División,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
618f94ac88307f48ce0b125a,Jamiro-Monteiro,2016,Africa Cup of Nations qualification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
618f94ac88307f48ce0b125b,Jefferson-Montero,2016,EFL Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b125c,Leo-Milutinovic,2019,U17 Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
618f94ac88307f48ce0b125d,Zaw-Min-Tun,2018,AFC Asian Cup qualification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b125e,Georgi-Minchev,2020,First League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
618f94ac88307f48ce0b125f,Mert-Mirac-Altintas,2021,Süper Lig,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.43
618f94ac88307f48ce0b1260,Jonathan-Mitchell,2019,FA Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b1261,Stefan-Mitrovic,2019,Coupe de la Ligue,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.88
618f94ac88307f48ce0b1262,Sebastian-Mladen,2017,Europa Lg,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
618f94ac88307f48ce0b1263,Peniel-Mlapa,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b1264,Giannis-Michailidis,2020,Super League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
618f94ac88307f48ce0b1265,Simon-Mignolet,2017,FA Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b1266,Andreas-Mihaiu,2019,Liga I,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3
618f94ac88307f48ce0b1267,Iliya-Milanov,2013,WCQ — UEFA (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
618f94ac88307f48ce0b1268,Martin-Miller,2019,Europa Lg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
618f94ac88307f48ce0b1269,Abbubaker-Mobara,2014,Friendlies (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b126a,Jakub-Moder,2018,Ekstraklasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
